iter	RMSE
0	1.096585776
1	1.096521547
2	1.096459041
3	1.096400579
4	1.096345865
5	1.096290851
6	1.096243038
7	1.096196355
8	1.096152707
9	1.096114298
10	1.096073207
11	1.096033604
12	1.09599793
13	1.095963863
14	1.095928603
15	1.095897393
16	1.095863442
17	1.095835566
18	1.09580477
19	1.095775165
20	1.095744248
21	1.095715415
22	1.095689322
23	1.095657271
24	1.095632666
25	1.095606274
26	1.095575531
27	1.095545085
28	1.095519822
29	1.095492891
30	1.095468163
31	1.095445044
32	1.095425916
33	1.095399935
34	1.095374014
35	1.095351607
36	1.095333372
37	1.095312216
38	1.095287425
39	1.095264302
40	1.095240284
41	1.095222047
42	1.095200293
43	1.095181221
44	1.095161969
45	1.09514087
46	1.095120724
47	1.095097418
48	1.095075066
49	1.095057124
50	1.095038347
51	1.095015755
52	1.094992388
53	1.094970868
54	1.09495054
55	1.094929078
56	1.094900821
57	1.094879358
58	1.094860281
59	1.094841441
60	1.094821826
61	1.094803045
62	1.094786053
63	1.094760534
64	1.094743004
65	1.094723268
66	1.094706573
67	1.094689281
68	1.094670975
69	1.09465732
70	1.094638
71	1.094623628
72	1.094603294
73	1.094579858
74	1.094555348
75	1.094535191
76	1.094518254
77	1.094503226
78	1.094483843
79	1.09446607
80	1.094447284
81	1.094428497
82	1.094408278
83	1.094391876
84	1.094377203
85	1.094358653
86	1.094340759
87	1.094323462
88	1.094304971
89	1.094287911
90	1.094269061
91	1.094251941
92	1.094233389
93	1.094213584
94	1.094191453
95	1.094169917
96	1.094150051
97	1.094129469
98	1.094116225
99	1.094098088
100	1.094079116
101	1.094061158
102	1.094045646
103	1.094027747
104	1.094006029
105	1.093990516
106	1.09397357
107	1.093956685
108	1.093938366
109	1.093923389
110	1.093903221
111	1.09388693
112	1.093872609
113	1.093854588
114	1.093834955
115	1.093816695
116	1.09380464
117	1.093791392
118	1.093779576
119	1.093759643
120	1.093742754
121	1.093728789
122	1.093711541
123	1.093696263
124	1.093685818
125	1.093672031
126	1.093658006
127	1.093641771
128	1.093623746
129	1.093605542
130	1.093591157
131	1.093571997
132	1.093557075
133	1.093543048
134	1.093524544
135	1.093505203
136	1.093485266
137	1.093465567
138	1.093449091
139	1.093432555
140	1.093414527
141	1.093400199
142	1.093381872
143	1.093365096
144	1.093350827
145	1.093333932
146	1.093318111
147	1.093301215
148	1.093283005
149	1.093267422
150	1.093249271
151	1.093235957
152	1.093218821
153	1.093199296
154	1.093181681
155	1.093168187
156	1.09315099
157	1.09313654
158	1.093116536
159	1.093098681
160	1.093081782
