iter	Passed	Remaining
0	208	33302
1	330	26311
2	464	24460
3	573	22492
4	703	21949
5	823	21262
6	946	20818
7	1065	20375
8	1190	20111
9	1318	19905
10	1477	20142
11	1758	21834
12	2178	24795
13	2325	24416
14	2582	25136
15	2986	27064
16	3134	26551
17	3254	25857
18	3371	25193
19	3499	24672
20	3607	24049
21	3738	23620
22	3866	23197
23	3989	22771
24	4121	22422
25	4244	22039
26	4378	21730
27	4502	21387
28	4630	21076
29	4767	20818
30	4896	20535
31	5034	20296
32	5239	20322
33	5551	20736
34	5919	21310
35	6025	20921
36	6146	20599
37	6249	20229
38	6383	19970
39	6488	19626
40	6633	19416
41	6781	19214
42	6919	18989
43	7031	18696
44	7172	18490
45	7272	18181
46	7381	17904
47	7501	17659
48	7633	17447
49	7756	17218
50	7901	17043
51	8041	16855
52	8193	16697
53	8670	17179
54	8955	17260
55	9116	17092
56	9361	17079
57	9737	17292
58	9969	17234
59	10212	17190
60	10475	17173
61	10826	17288
62	11003	17116
63	11186	16954
64	11332	16737
65	11580	16668
66	11711	16431
67	11821	16167
68	11947	15930
69	12067	15687
70	12185	15446
71	12306	15212
72	12432	14987
73	12545	14749
74	12663	14520
75	12765	14277
76	12883	14054
77	12978	13810
78	13102	13600
79	13206	13371
80	13319	13155
81	13445	12953
82	13556	12739
83	13686	12546
84	13815	12352
85	13929	12147
86	14072	11969
87	14203	11782
88	14327	11590
89	14462	11409
90	14589	11222
91	14727	11045
92	14837	10849
93	14954	10658
94	15076	10474
95	15194	10288
96	15334	10117
97	15473	9947
98	15581	9757
99	15700	9577
100	15825	9401
101	16108	9317
102	16532	9309
103	16691	9148
104	16926	9027
105	17158	8903
106	17333	8747
107	17632	8652
108	17737	8462
109	17838	8270
110	17949	8085
111	18200	7962
112	18608	7904
113	18829	7762
114	18969	7587
115	19233	7461
116	19617	7377
117	19777	7206
118	19891	7020
119	20026	6842
120	20158	6664
121	20273	6480
122	20395	6300
123	20503	6117
124	20618	5938
125	20722	5756
126	20840	5579
127	20984	5409
128	21094	5232
129	21203	5056
130	21300	4878
131	21409	4703
132	21528	4532
133	21654	4363
134	21782	4195
135	21894	4024
136	22014	3856
137	22126	3687
138	22240	3520
139	22347	3352
140	22467	3186
141	22584	3021
142	22721	2860
143	22862	2699
144	22965	2534
145	23084	2371
146	23204	2209
147	23331	2049
148	23576	1898
149	23970	1757
150	24225	1604
151	24538	1452
152	24712	1292
153	24832	1128
154	24948	965
155	25068	803
156	25180	641
157	25297	480
158	25418	319
159	25539	159
160	25640	0
